Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-May-2017,3409.95,3435.85,3280.00,3289.80,3332.789676096060165797,23402,2210,77993944.00,7694,32.88,155.85,-120.15
8-May-2017,3383.00,3409.90,3370.00,3393.85,3393.932329462989840348,5512,555,18707355.00,1738,31.53,39.90,10.85
5-May-2017,3376.55,3411.75,3341.00,3362.60,3382.524236983842010771,13925,1397,47101650.00,2947,21.16,70.75,-13.95
4-May-2017,3376.35,3410.00,3357.80,3394.10,3385.284177777777777777,11250,1323,38084447.00,4206,37.39,52.20,17.75
3-May-2017,3374.45,3381.00,3351.95,3368.15,3368.040590405904059040,10027,849,33771343.00,1935,19.30,29.05,-6.30
2-May-2017,3315.65,3382.00,3303.55,3351.00,3350.713051305130513051,16665,1721,55839633.00,4682,28.09,78.45,35.35
28-April-2017,3350.00,3350.00,3290.00,3310.70,3313.274719716766416589,11863,894,39305378.00,2670,22.51,60.00,-39.30
27-April-2017,3315.25,3360.05,3275.00,3297.15,3329.181228861330326944,14192,1540,47247740.00,3100,21.84,85.05,-18.10
26-April-2017,3310.00,3324.00,3270.05,3309.70,3293.446259351620947630,40100,2158,132067195.00,24443,60.96,53.95,-0.30
25-April-2017,3204.55,3315.00,3203.25,3305.70,3271.765770252324037184,24096,2321,78836468.00,7142,29.64,111.75,101.15
24-April-2017,3204.90,3218.85,3190.00,3204.55,3204.605434697243383334,12733,1043,40804241.00,4917,38.62,28.85,-0.35
21-April-2017,3212.45,3218.00,3191.50,3204.90,3204.630682831164200392,11218,1144,35949547.00,4040,36.01,26.50,-7.55
20-April-2017,3202.70,3215.00,3182.70,3201.25,3199.251608391608391608,7150,863,22874649.00,2034,28.45,32.30,-1.45
19-April-2017,3243.60,3243.60,3185.00,3204.60,3210.668563776364245061,11948,853,38361068.00,6454,54.02,58.60,-39.00
18-April-2017,3242.15,3258.90,3218.20,3223.95,3243.303167420814479638,11934,1557,38705580.00,5534,46.37,40.70,-18.20
17-April-2017,3210.00,3245.00,3210.00,3229.95,3232.559980273702379484,16222,3016,52438588.00,6144,37.87,35.00,19.95
13-April-2017,3221.40,3245.50,3212.00,3224.90,3227.631111111111111111,9000,1045,29048680.00,2591,28.79,33.50,3.50
12-April-2017,3210.95,3233.50,3200.60,3226.15,3221.243933588761174968,10962,931,35311276.00,3591,32.76,32.90,15.20
11-April-2017,3200.05,3224.25,3186.70,3201.35,3206.111068847470521110,13145,2267,42144330.00,7100,54.01,37.55,1.30
10-April-2017,3214.00,3226.95,3187.20,3199.45,3201.895248868778280542,8840,1025,28304754.00,3226,36.49,39.75,-14.55
7-April-2017,3207.90,3235.00,3200.00,3216.60,3218.728142076502732240,16836,1952,54190507.00,7619,45.25,35.00,8.70
6-April-2017,3190.00,3219.75,3180.00,3205.35,3201.821741370427614631,17469,1956,55932624.00,5245,30.02,39.75,15.35
5-April-2017,3205.00,3226.50,3191.00,3196.35,3203.326828306721860831,15219,1580,48751431.00,5776,37.95,35.50,-8.65
3-April-2017,3250.00,3263.95,3195.20,3204.70,3223.880355147150130386,16106,1298,51923817.00,3909,24.27,68.75,-45.30
31-March-2017,3206.05,3232.05,3200.00,3223.85,3215.352720918622066899,48072,2312,154568436.00,8618,17.93,32.05,17.80
30-March-2017,3210.00,3265.00,3202.65,3231.50,3243.485743865245250286,35739,3007,115918937.00,10331,28.91,62.35,21.50
29-March-2017,3328.05,3336.40,3180.00,3223.25,3284.863796823476728564,171949,6884,564829045.00,103495,60.19,156.40,-104.80
28-March-2017,3344.00,3356.90,3312.00,3328.05,3330.396111250943871130,15892,1991,52926655.00,5578,35.10,44.90,-15.95
27-March-2017,3375.00,3397.00,3311.60,3340.25,3342.895255671588044652,22216,2280,74265761.00,5902,26.57,85.40,-34.75
24-March-2017,3356.10,3385.00,3344.55,3376.60,3371.664627690859898835,17002,1853,57325042.00,8347,49.09,40.45,20.50
23-March-2017,3333.35,3378.00,3328.05,3366.55,3360.027743995135299483,13156,2084,44204525.00,4863,36.96,49.95,33.20
22-March-2017,3325.00,3338.80,3301.00,3310.55,3316.942796344974339717,15978,1437,52998112.00,7464,46.71,37.80,-14.45
21-March-2017,3341.05,3358.15,3330.00,3342.80,3341.513221153846153846,6656,733,22241112.00,1581,23.75,28.15,1.75
20-March-2017,3351.70,3366.90,3325.00,3337.65,3340.733233793704118452,8037,873,26849473.00,4439,55.23,41.90,-14.05
17-March-2017,3350.20,3374.80,3336.75,3345.25,3358.823156457276628950,10252,1303,34434655.00,2787,27.18,38.05,-4.95
16-March-2017,3367.00,3387.35,3341.10,3348.80,3362.570117207758531272,19282,2269,64837077.00,6691,34.70,46.25,-18.20
15-March-2017,3351.10,3406.00,3340.75,3399.25,3368.629758394656442394,562322,2961,1894254623.00,544361,96.81,65.25,48.15
14-March-2017,3351.00,3379.80,3348.00,3357.50,3360.375280599662811566,533233,4170,1791862992.00,509083,95.47,31.80,6.50
10-March-2017,3302.90,3326.95,3290.10,3311.60,3307.907841416641195783,101423,1395,335497937.00,92806,91.50,36.85,8.70
9-March-2017,3285.00,3297.85,3259.95,3273.70,3275.175964236457887478,21027,1845,68867125.00,10916,51.91,37.90,-11.30
8-March-2017,3331.00,3331.00,3258.50,3270.90,3281.912109968979989051,16441,2094,53957917.00,4222,25.68,72.50,-60.10
7-March-2017,3315.00,3320.00,3281.65,3299.40,3304.860706860706860706,8177,1022,27023846.00,1931,23.62,38.35,-15.60
6-March-2017,3275.95,3332.00,3274.60,3320.85,3305.177641251837849191,19044,3618,62943803.00,7952,41.76,57.40,44.90
3-March-2017,3223.95,3289.95,3209.40,3270.55,3242.902694136291600633,12620,1420,40925432.00,3414,27.05,80.55,46.60
