Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-October-2017,265.80,269.05,263.95,267.00,266.940275356021143998,363602,2353,97060018.00,139982,38.50,5.10,1.20
11-October-2017,266.25,266.95,264.50,265.40,265.251234388614580307,306427,2717,81280140.00,133515,43.57,2.45,-0.85
10-October-2017,268.00,268.00,265.10,265.80,266.595868714316999219,324209,2342,86432780.00,194348,59.95,2.90,-2.20
9-October-2017,269.00,269.00,266.30,268.00,267.638025902790458897,290239,2083,77678993.00,132395,45.62,2.70,-1.00
6-October-2017,265.50,267.55,264.80,266.05,265.622535930794904979,587240,2705,155984178.00,314217,53.51,2.75,0.55
5-October-2017,267.55,269.10,264.10,265.55,266.845210009770029707,654041,3636,174527708.00,451500,69.03,5.00,-2.00
4-October-2017,264.00,268.60,263.25,267.35,266.788504686958285090,611484,5325,163136902.00,284760,46.57,5.35,3.35
3-October-2017,259.25,262.70,258.10,261.35,261.106515495466118169,398665,4045,104094029.00,192165,48.20,4.60,2.10
29-September-2017,262.00,262.70,257.40,258.25,259.552837397088510315,543914,4777,141174422.00,159088,29.25,5.30,-3.75
28-September-2017,260.00,263.25,259.10,261.15,261.753420692379466991,880962,4994,230594817.00,480699,54.57,4.15,1.15
27-September-2017,264.80,265.50,257.10,258.60,262.604942522300112658,1911089,9659,501861417.00,1440300,75.37,8.40,-6.20
26-September-2017,263.00,264.50,261.00,262.10,262.863429291124395854,576434,4773,151523418.00,415726,72.12,3.50,-0.90
25-September-2017,269.00,269.60,261.20,262.40,263.383143804533057034,2110761,9579,555938868.00,1520148,72.02,8.40,-6.60
22-September-2017,269.90,270.90,267.10,268.25,269.048764294152445632,552761,4791,148719664.00,231626,41.90,3.80,-1.65
21-September-2017,272.50,272.75,267.15,269.45,269.167055262784734797,430181,4959,115790553.00,176469,41.02,5.60,-3.05
20-September-2017,269.80,272.00,267.85,271.20,270.678211926318166257,549172,3608,148648895.00,277572,50.54,4.15,1.40
19-September-2017,267.25,270.00,264.15,267.80,266.601214385479270082,1741951,9306,464406252.00,908565,52.16,5.85,0.55
18-September-2017,271.00,271.70,266.30,266.80,268.126738218219672542,1459181,7341,391245442.00,1120347,76.78,5.40,-4.20
15-September-2017,272.00,272.75,267.90,269.35,270.179583874484276631,383442,3906,103598200.00,207746,54.18,4.85,-2.65
14-September-2017,272.60,272.60,270.40,271.85,271.571842515255918260,270223,3594,73384958.00,138831,51.38,2.20,-0.75
13-September-2017,277.65,277.65,271.00,271.50,273.609516797164954624,1002312,6580,274242102.00,586467,58.51,6.65,-6.15
12-September-2017,275.15,278.00,274.70,277.55,276.343031212196553892,478627,3484,132265236.00,297483,62.15,3.30,2.40
11-September-2017,273.00,274.50,271.55,273.80,273.281001180122261814,348269,2417,95175301.00,203761,58.51,2.95,0.80
8-September-2017,271.10,273.30,270.10,272.45,271.865659295643126903,506533,5009,137708928.00,186329,36.79,3.20,1.35
7-September-2017,277.10,277.55,269.60,270.35,272.058879906658888240,1823848,8164,496194044.00,1529039,83.84,7.95,-6.75
6-September-2017,280.90,281.00,275.00,275.55,276.635781280622672676,535755,7671,148209003.00,280083,52.28,6.00,-5.35
5-September-2017,283.00,284.00,280.90,282.40,282.835578540241156587,182537,1635,51627958.00,68231,37.38,3.10,-0.60
4-September-2017,283.70,283.85,282.00,282.60,282.841699764778467589,259330,2229,73349338.00,86167,33.23,1.85,-1.10
1-September-2017,282.00,284.60,280.80,283.60,283.397952033148589772,361041,2157,102318280.00,181183,50.18,3.80,1.60
31-August-2017,283.00,283.20,280.45,282.20,281.619553666312433581,600358,2957,169072552.00,341013,56.80,2.75,-0.80
30-August-2017,282.65,283.40,280.60,282.40,281.519920886132286077,561722,2303,158135933.00,458777,81.67,2.80,-0.25
29-August-2017,282.25,282.90,279.65,280.30,281.201019768764944204,884122,20195,248616008.00,640991,72.50,3.25,-1.95
28-August-2017,281.20,283.00,279.60,282.25,280.727376321781097554,1768258,3755,496398429.00,1332706,75.37,3.40,1.05
24-August-2017,282.90,283.50,281.20,281.50,281.946323559661058785,899389,1822,253579422.00,612233,68.07,2.30,-1.40
23-August-2017,283.25,285.30,281.00,282.25,283.240432816795943914,349894,2684,99104128.00,129962,37.14,4.30,-1.00
22-August-2017,282.40,285.00,280.55,283.05,283.708584580531655941,414930,3233,117719203.00,179633,43.29,4.45,0.65
21-August-2017,283.50,284.95,280.90,282.15,283.615109468187966089,1462434,5146,414768379.00,991214,67.78,4.05,-1.35
18-August-2017,280.75,284.00,277.20,281.80,280.578361317394006140,812665,7698,228016214.00,356938,43.92,6.80,1.05
17-August-2017,280.50,282.90,278.10,279.45,280.402569057959017332,628168,4511,176139921.00,225853,35.95,4.80,-1.05
16-August-2017,272.65,281.70,271.65,279.30,277.600183116277721150,896698,6747,248923529.00,274412,30.60,10.05,6.65
14-August-2017,273.00,274.35,270.05,271.15,270.759199889371321490,1417354,5595,383761635.00,978634,69.05,4.30,-1.85
11-August-2017,272.30,274.35,270.10,271.55,271.846142482062619085,1516247,8907,412185898.00,377124,24.87,4.25,-0.75
10-August-2017,273.00,274.75,270.70,273.10,273.038558725269448454,683062,9593,186502264.00,255186,37.36,4.05,0.10
9-August-2017,274.00,275.40,270.75,272.70,272.838938617477474023,1147786,11240,313160714.00,424407,36.98,4.65,-1.30
8-August-2017,281.00,281.55,273.30,274.20,275.965065996061525360,1052184,13134,290366027.00,521069,49.52,8.25,-6.80
7-August-2017,282.00,283.30,279.55,280.00,280.736492829572964557,601847,6050,168960416.00,255977,42.53,3.75,-2.00
4-August-2017,281.00,284.50,280.00,280.75,281.604973911078232602,761051,12867,214315747.00,298494,39.22,4.50,-0.25
3-August-2017,286.00,286.00,280.50,281.40,282.950807887658883620,699726,8208,197988037.00,344721,49.27,5.50,-4.60
2-August-2017,289.00,289.50,284.35,285.15,286.160711987059292448,644787,5636,184512707.00,278965,43.26,5.15,-3.85
1-August-2017,286.00,288.50,285.00,287.75,286.583103423664657572,812638,10767,232888320.00,416744,51.28,3.50,1.75
31-July-2017,291.25,291.25,284.50,285.15,286.317356691471864108,1559485,12856,446507623.00,1018700,65.32,6.75,-6.10
28-July-2017,294.70,294.90,287.20,291.25,290.332064561378160265,1328844,14863,385806022.00,552280,41.56,7.70,-3.45
27-July-2017,295.00,295.30,287.00,288.65,292.412423659959648835,880272,9254,257402469.00,387645,44.04,8.30,-6.35
26-July-2017,291.95,294.20,291.50,293.40,293.013454986688557093,445857,4645,130642100.00,197421,44.28,2.70,1.45
25-July-2017,295.00,295.20,290.80,291.40,293.017199256720347310,1672049,5578,489939115.00,1281891,76.67,4.40,-3.60
24-July-2017,289.95,295.35,288.35,293.20,293.001877349022451561,1070126,10063,313548927.00,372773,34.83,7.00,3.25
21-July-2017,293.75,293.75,286.80,288.50,288.743357545171549942,770009,6468,222334984.00,300112,38.98,6.95,-5.25
20-July-2017,294.40,295.00,288.30,289.75,290.989413448250752120,1222211,12325,355650462.00,482790,39.50,6.70,-4.65
19-July-2017,289.00,292.80,286.30,291.50,289.995763160866128738,2878325,26627,834702055.00,1237126,42.98,6.50,2.50
18-July-2017,293.20,293.20,276.90,284.60,285.031603103306849870,10494096,108542,2991149006.00,3997920,38.10,16.30,-8.60
17-July-2017,334.90,335.00,321.10,325.75,327.716647455099737542,1660458,8788,544159729.00,1034676,62.31,13.90,-9.15
14-July-2017,339.05,340.00,334.75,337.20,336.081600243074897452,493675,2646,165915084.00,226381,45.86,5.25,-1.85
13-July-2017,331.55,339.45,331.55,338.65,336.976781157212546758,1174391,8863,395742499.00,482736,41.11,7.90,7.10
12-July-2017,329.00,333.70,327.30,328.70,329.263086187284306857,622412,7049,204937296.00,281949,45.30,6.40,-0.30
11-July-2017,335.00,335.00,330.00,330.40,331.234850863976231391,566798,5231,187743251.00,302259,53.33,5.00,-4.60
10-July-2017,335.10,338.00,331.00,333.25,332.491770317337295344,3497887,30411,1163018641.00,2370636,67.77,7.00,-1.85
7-July-2017,337.60,338.00,333.10,334.10,334.738532290655260188,457284,3545,153070575.00,169971,37.17,4.90,-3.50
6-July-2017,333.00,338.60,331.45,336.75,336.181928398394796610,872662,7205,293373194.00,330151,37.83,7.15,3.75
5-July-2017,337.25,337.50,330.35,331.05,332.911748510974273592,535753,4575,178358468.00,219845,41.03,7.15,-6.20
4-July-2017,344.00,344.00,336.15,337.10,338.431114424449019253,702883,4847,237877477.00,252818,35.97,7.85,-6.90
3-July-2017,345.25,353.20,340.30,342.30,344.023566689600094038,2313944,13854,796051268.00,934433,40.38,12.90,-2.95
30-June-2017,311.20,324.80,310.00,323.85,318.896140299511984484,2172267,10829,692727562.00,1290214,59.39,14.80,12.65
29-June-2017,309.00,313.40,308.80,311.40,311.231321921271878139,437023,3888,136015246.00,162392,37.16,4.60,2.40
28-June-2017,312.00,312.00,307.20,308.15,309.296344567817013381,376727,2696,116520284.00,147915,39.26,4.80,-3.85
27-June-2017,311.05,316.50,311.05,311.65,312.239697276983549541,7540094,7682,2354316668.00,1290923,17.12,5.45,0.60
23-June-2017,310.60,312.50,308.65,310.85,310.466080938802981514,358073,2312,111169521.00,168548,47.07,3.85,0.25
22-June-2017,309.15,313.90,308.25,310.70,311.261304533181753588,387035,3226,120469019.00,151880,39.24,5.65,1.55
21-June-2017,308.70,311.00,307.25,309.15,309.253836500808878003,462987,5271,143180506.00,285565,61.68,3.75,0.45
20-June-2017,313.00,313.55,307.90,308.50,309.476160479677570815,342897,2616,106118447.00,180466,52.63,5.65,-4.50
19-June-2017,308.50,311.60,308.00,310.45,310.299316009234476985,581733,4150,180511352.00,273475,47.01,3.60,1.95
16-June-2017,302.00,309.20,302.00,306.30,307.010627011778321619,663592,4699,203729796.00,283238,42.68,7.20,4.30
15-June-2017,304.00,304.00,299.70,301.90,300.373700622256406095,1799419,5123,540498144.00,1338571,74.39,4.30,-2.10
14-June-2017,305.25,305.85,299.00,299.75,300.762626691197520307,1072391,4002,322535134.00,488168,45.52,6.85,-5.50
13-June-2017,304.45,305.95,302.40,304.70,304.398332420101040730,563931,3193,171659656.00,180043,31.93,3.55,0.25
12-June-2017,307.00,308.55,302.75,304.35,304.831213201380268537,439045,4013,133834620.00,167915,38.25,5.80,-2.65
9-June-2017,310.05,312.45,304.65,306.20,307.072772822835338464,647838,5055,198933411.00,191058,29.49,7.80,-3.85
8-June-2017,312.20,313.20,309.60,311.60,310.925594952779469109,385955,3259,120003288.00,198286,51.38,3.60,-0.60
7-June-2017,311.75,314.75,310.70,312.20,313.119333063357815645,343241,2448,107475393.00,139594,40.67,4.05,0.45
6-June-2017,318.15,318.40,309.70,311.00,311.154956948098541018,568616,4181,176927687.00,192466,33.85,8.70,-7.15
5-June-2017,314.90,318.50,313.35,317.50,316.200991076369579434,1470926,3609,465108259.00,1113302,75.69,5.15,2.60
2-June-2017,314.60,319.65,314.60,319.15,317.174071854236591547,1751880,3859,555650913.00,635166,36.26,5.05,4.55
1-June-2017,313.00,316.90,311.20,314.60,315.576217575165497311,1024639,3899,323351700.00,663616,64.77,5.70,1.60
31-May-2017,312.00,313.50,307.20,311.90,310.295976234630847866,632517,4299,196267480.00,188405,29.79,6.30,-0.10
30-May-2017,314.00,315.35,310.00,310.40,310.831798862712290780,1367464,3212,425051295.00,189451,13.85,5.35,-3.60
29-May-2017,303.00,319.90,303.00,316.00,315.642472164298994116,1203221,13292,379787651.00,387449,32.20,16.90,13.00
26-May-2017,302.05,313.40,300.00,308.65,306.004846666496340595,2622421,21091,802473536.00,895950,34.16,13.40,6.60
25-May-2017,301.00,304.60,295.50,299.70,299.317683853860934422,747863,5740,223848621.00,308308,41.23,9.10,-1.30
24-May-2017,300.10,302.00,297.90,299.95,300.094397232056072266,560705,3032,168264429.00,256410,45.73,4.10,-0.15
23-May-2017,302.00,303.75,298.30,300.25,300.356621393363062649,1158004,11906,347814169.00,461091,39.82,5.45,-1.75
22-May-2017,292.00,304.90,291.00,303.65,299.863031768365893026,3149139,20841,944310368.00,1338003,42.49,13.90,11.65
19-May-2017,280.25,295.50,280.25,285.90,290.134709964715634997,2550138,15868,739883549.00,1102234,43.22,15.25,5.65
18-May-2017,279.90,280.95,276.95,278.05,278.494345461309963208,338666,1490,94316566.00,159446,47.08,4.00,-1.85
17-May-2017,284.00,284.40,279.50,281.85,281.889573097499727044,641130,4870,180727862.00,430264,67.11,4.90,-2.15
16-May-2017,278.10,284.25,278.10,283.45,281.644719747145058051,629610,4300,177326332.00,385190,61.18,6.15,5.35
15-May-2017,275.00,278.95,275.00,277.35,277.629752071246534988,322149,3602,89438147.00,193420,60.04,3.95,2.35
12-May-2017,277.00,277.00,273.90,274.30,274.911367530708148355,484969,1878,133323491.00,163335,33.68,3.10,-2.70
11-May-2017,275.00,278.85,274.15,276.65,277.289716138621408064,629744,3919,174621535.00,268995,42.71,4.70,1.65
10-May-2017,273.95,275.50,272.45,273.90,274.164271833611988900,456956,3980,125281009.00,207625,45.44,3.05,-0.05
