Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1344.00,1366.80,1343.05,1355.00,1352.636820465966194609,2189,272,2960922.00,523,23.89,23.75,11.00
27-April-2018,1349.00,1375.70,1335.45,1341.95,1354.444332998996990972,3988,430,5401524.00,1257,31.52,40.25,-7.05
26-April-2018,1355.00,1380.00,1329.05,1348.15,1361.954845863827899756,22545,1073,30705272.00,13999,62.09,50.95,-6.85
25-April-2018,1344.85,1378.00,1315.70,1345.10,1364.859574763757643135,86352,1735,117858354.00,71501,82.80,62.30,0.25
24-April-2018,1332.00,1370.00,1332.00,1359.60,1351.408859091169560483,17451,1279,23583436.00,6574,37.67,38.00,27.60
23-April-2018,1284.95,1349.95,1267.00,1332.65,1330.319199664916067918,31037,3133,41289117.00,9502,30.62,82.95,47.70
20-April-2018,1252.00,1299.00,1248.35,1281.35,1257.270076844431252267,30321,911,38121686.00,26999,89.04,50.65,29.35
19-April-2018,1259.75,1270.00,1245.00,1249.00,1256.245209229565897536,5114,538,6424438.00,2249,43.98,25.00,-10.75
18-April-2018,1268.45,1274.40,1255.00,1256.65,1261.619669611986169804,2603,322,3283996.00,1407,54.05,19.40,-11.80
17-April-2018,1265.00,1276.65,1257.00,1262.80,1266.973887240356083086,3370,358,4269702.00,1608,47.72,19.65,-2.20
16-April-2018,1271.70,1276.60,1251.05,1258.90,1262.705824607329842931,6112,908,7717658.00,3149,51.52,25.55,-12.80
13-April-2018,1272.10,1290.00,1266.05,1273.60,1279.691754122938530734,3335,269,4267772.00,1908,57.21,23.95,1.50
12-April-2018,1275.00,1285.00,1265.00,1269.95,1276.729088841968491148,6157,408,7860821.00,3041,49.39,20.00,-5.05
11-April-2018,1294.10,1298.30,1271.00,1275.10,1283.860272257862619308,6391,433,8205151.00,3743,58.57,27.30,-19.00
10-April-2018,1315.00,1315.00,1285.05,1288.45,1292.582179713063176440,3973,405,5135429.00,2513,63.25,29.95,-26.55
9-April-2018,1295.40,1300.00,1285.00,1288.50,1294.350511557408109132,5278,303,6831582.00,3666,69.46,15.00,-6.90
6-April-2018,1279.90,1298.95,1279.90,1295.30,1293.689497716894977168,4599,354,5949678.00,2143,46.60,19.05,15.40
5-April-2018,1281.40,1300.00,1269.55,1275.20,1286.916512104646622413,204880,430,263663455.00,203279,99.22,30.45,-6.20
4-April-2018,1288.70,1300.50,1270.00,1272.80,1283.902565668906536346,3274,387,4203497.00,1817,55.50,30.50,-15.90
3-April-2018,1300.00,1300.00,1280.00,1282.85,1289.558961038961038961,3850,496,4964802.00,2182,56.68,20.00,-17.15
2-April-2018,1302.00,1315.15,1288.00,1292.65,1296.314367281901473907,30124,402,39050174.00,28390,94.24,27.15,-9.35
28-March-2018,1282.55,1298.40,1275.30,1286.60,1285.503087690407575133,2429,344,3122487.00,985,40.55,23.10,4.05
27-March-2018,1290.05,1312.00,1274.00,1279.20,1279.012819404522631165,277626,661,355087213.00,3115,1.12,38.00,-10.85
26-March-2018,1283.40,1301.80,1275.00,1285.40,1287.433212372559184378,5787,438,7450376.00,2794,48.28,26.80,2.00
23-March-2018,1289.95,1289.95,1267.15,1280.40,1277.307331166486096063,5538,523,7073728.00,2467,44.55,22.80,-9.55
22-March-2018,1302.45,1314.75,1282.45,1292.15,1299.138675340035481963,3382,363,4393687.00,1211,35.81,32.30,-10.30
21-March-2018,1306.20,1314.00,1298.70,1301.50,1304.141466445733222866,4828,368,6296395.00,2334,48.34,15.30,-4.70
20-March-2018,1315.65,1325.50,1299.90,1308.80,1311.147857540345019476,17970,6769,23561327.00,9513,52.94,25.60,-6.85
19-March-2018,1340.70,1346.15,1304.00,1315.65,1318.237990304098721903,13614,1621,17946492.00,9189,67.50,42.15,-25.05
16-March-2018,1376.35,1383.70,1332.00,1340.50,1354.998168833546969419,5461,625,7399645.00,2440,44.68,51.70,-35.85
15-March-2018,1382.00,1400.00,1371.00,1374.40,1384.417775665399239543,4208,338,5825630.00,2286,54.33,29.00,-7.60
14-March-2018,1413.95,1416.30,1385.95,1390.35,1393.473813320250214644,8153,260,11360992.00,6243,76.57,30.35,-23.60
13-March-2018,1431.40,1435.45,1387.65,1406.05,1417.150956284153005464,4392,323,6224127.00,1340,30.51,47.80,-25.35
12-March-2018,1444.60,1448.90,1425.70,1431.10,1433.386634844868735083,2095,237,3002945.00,879,41.96,23.20,-13.50
9-March-2018,1430.10,1450.00,1430.10,1435.10,1435.822671063478977741,12130,485,17416529.00,1244,10.26,19.90,5.00
8-March-2018,1445.10,1452.80,1420.00,1428.95,1434.612939416604338070,2674,281,3836155.00,927,34.67,32.80,-16.15
7-March-2018,1474.80,1474.80,1423.00,1431.05,1443.322056335956460984,13597,691,19624850.00,3197,23.51,51.80,-43.75
6-March-2018,1505.45,1508.25,1452.05,1475.70,1477.964320678777330577,9193,935,13586926.00,1667,18.13,56.20,-29.75
5-March-2018,1527.65,1527.65,1480.05,1488.90,1497.586820236186032949,6859,490,10271948.00,3173,46.26,47.60,-38.75
1-March-2018,1529.95,1560.55,1512.55,1527.85,1530.943255250403877221,4952,429,7581231.00,1548,31.26,48.00,-2.10
28-February-2018,1530.00,1550.20,1507.45,1534.55,1535.285714285714285714,6650,537,10209650.00,2250,33.83,42.75,4.55
27-February-2018,1516.00,1540.00,1516.00,1530.35,1530.866885111611714110,4883,515,7475223.00,1810,37.07,24.00,14.35
26-February-2018,1534.75,1538.00,1512.70,1515.15,1523.167726773443686617,39147,392,59627447.00,34979,89.35,25.30,-19.60
23-February-2018,1523.50,1532.25,1511.40,1521.95,1522.788075178224238496,3086,363,4699324.00,1169,37.88,20.85,-1.55
22-February-2018,1510.05,1522.00,1492.60,1510.85,1508.426846006038978863,3643,390,5495199.00,805,22.10,29.40,0.80
21-February-2018,1517.10,1550.00,1509.05,1513.15,1519.338585316795172644,2983,312,4532187.00,613,20.55,40.95,-3.95
20-February-2018,1486.15,1530.95,1474.80,1513.20,1512.164156004952538175,9692,929,14655895.00,1597,16.48,56.15,27.05
19-February-2018,1518.50,1518.50,1469.45,1478.55,1483.942826943403478427,10407,828,15443393.00,4030,38.72,49.05,-39.95
16-February-2018,1556.00,1570.00,1495.00,1507.45,1528.731905126243305279,13070,1368,19980526.00,4125,31.56,75.00,-48.55
15-February-2018,1580.80,1586.00,1551.00,1554.40,1574.866597108361901922,6709,559,10565780.00,1479,22.05,35.00,-26.40
14-February-2018,1620.00,1629.00,1560.00,1571.65,1592.757916872835230084,8084,707,12875855.00,2192,27.12,69.00,-48.35
12-February-2018,1597.00,1622.00,1570.05,1612.80,1600.720880428316478286,8405,582,13454059.00,4036,48.02,51.95,15.80
9-February-2018,1565.45,1609.05,1560.00,1591.60,1590.903091927785847686,4819,428,7666562.00,850,17.64,49.05,26.15
8-February-2018,1598.00,1623.30,1586.45,1598.20,1602.600973985945012945,16222,1181,25997393.00,5685,35.05,36.85,0.20
7-February-2018,1616.15,1657.45,1575.10,1581.45,1605.785045562351766321,8011,733,12863944.00,2011,25.10,82.35,-34.70
6-February-2018,1619.75,1628.00,1547.00,1611.50,1584.611260233525701248,14902,1040,23613877.00,4669,31.33,81.00,-8.25
5-February-2018,1669.00,1682.05,1613.90,1628.55,1643.440419447092469018,10490,992,17239690.00,2142,20.42,68.15,-40.45
2-February-2018,1686.00,1744.40,1650.00,1678.10,1690.329792404360202735,14403,1240,24345820.00,2632,18.27,94.40,-7.90
1-February-2018,1637.05,1715.35,1635.00,1702.25,1680.307710979852738894,24718,1892,41533846.00,7635,30.89,80.35,65.20
31-January-2018,1615.90,1670.00,1590.40,1657.30,1641.468901359521662157,59874,1213,98281309.00,47861,79.94,79.60,41.40
30-January-2018,1622.00,1631.50,1599.00,1604.30,1612.966729720707688883,8987,713,14495732.00,2036,22.65,32.50,-17.70
29-January-2018,1652.65,1655.00,1611.00,1619.50,1630.273853273444943514,7347,799,11977622.00,1670,22.73,44.00,-33.15
25-January-2018,1666.00,1686.00,1640.00,1659.40,1664.220024161884627000,13244,1106,22040930.00,4502,33.99,46.00,-6.60
24-January-2018,1622.10,1670.00,1591.00,1662.35,1652.665665665665665665,24975,1678,41275325.00,7296,29.21,79.00,40.25
23-January-2018,1625.10,1645.00,1580.15,1634.70,1615.329466569236390208,21896,1705,35369254.00,5853,26.73,64.85,9.60
22-January-2018,1583.00,1607.35,1563.80,1597.60,1590.159711747947042064,11934,1112,18976966.00,4030,33.77,43.55,14.60
19-January-2018,1535.00,1612.50,1511.25,1580.35,1559.946694460988683740,10074,1015,15714903.00,3533,35.07,101.25,45.35
18-January-2018,1548.45,1560.00,1495.10,1541.05,1532.216646827213625125,10921,1342,16733338.00,4023,36.84,64.90,-7.40
17-January-2018,1470.00,1552.00,1470.00,1544.35,1520.275446579036063363,11868,859,18042629.00,3049,25.69,82.00,74.35
16-January-2018,1519.00,1535.00,1480.80,1506.40,1509.411746165160748056,9518,800,14366581.00,3119,32.77,54.20,-12.60
15-January-2018,1475.00,1523.15,1475.00,1511.80,1503.061278085789320105,71967,1335,108170811.00,56412,78.39,48.15,36.80
12-January-2018,1405.00,1515.20,1402.45,1471.50,1439.831137418390623770,101704,2360,146436586.00,75386,74.12,112.75,66.50
11-January-2018,1415.05,1432.00,1395.60,1400.50,1413.182709492927539192,19583,418,27674357.00,17075,87.19,36.40,-14.55
10-January-2018,1424.05,1427.75,1400.15,1417.20,1409.322330702617122844,83374,423,117500840.00,79977,95.93,27.60,-6.85
9-January-2018,1438.30,1442.10,1414.00,1422.60,1436.670669110907424381,54550,436,78370385.00,50863,93.24,28.10,-15.70
8-January-2018,1441.50,1447.85,1426.40,1434.05,1436.843680297397769516,5380,412,7730219.00,2199,40.87,21.45,-7.45
