Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-February-2017,355.25,361.00,354.00,358.95,358.286625232060699007,12389,508,4438813.00,6666,53.81,7.00,3.70
3-February-2017,362.00,363.05,353.00,355.35,359.107603186097031136,20715,1055,7438914.00,9171,44.27,10.05,-6.65
2-February-2017,356.00,360.40,353.00,359.25,357.572865508122402720,21176,1025,7571963.00,12312,58.14,7.40,3.25
1-February-2017,347.50,355.50,344.00,353.85,349.190057870852241975,24019,1054,8387196.00,9978,41.54,11.50,6.35
31-January-2017,350.00,358.50,342.05,343.85,349.119741158334378977,111574,2011,38952686.00,65755,58.93,16.45,-6.15
30-January-2017,350.00,353.00,345.75,348.50,349.847984790874524714,13150,811,4600501.00,7077,53.82,7.25,-1.50
27-January-2017,346.00,355.00,339.00,345.75,349.777550991073866984,69571,593,24334374.00,57428,82.55,16.00,-0.25
25-January-2017,337.00,346.75,336.85,345.10,343.513113754193351631,6558,210,2252759.00,4680,71.36,9.90,8.10
24-January-2017,342.00,342.00,335.10,336.60,338.128936862339198580,6763,295,2286766.00,4219,62.38,6.90,-5.40
23-January-2017,333.00,347.20,331.05,342.15,340.315346702923181509,23536,709,8009662.00,12977,55.14,16.15,9.15
20-January-2017,332.15,336.10,330.55,333.45,333.472580083565459610,11488,394,3830933.00,6393,55.65,5.55,1.30
19-January-2017,327.85,335.70,325.15,334.20,330.461901818823944905,22652,636,7485623.00,11382,50.25,10.55,6.35
18-January-2017,333.00,335.85,323.35,324.90,329.199262559532954370,26036,926,8571032.00,16355,62.82,12.50,-8.10
17-January-2017,335.00,335.80,328.25,330.10,331.380671730124284868,40552,1067,13438149.00,25738,63.47,7.55,-4.90
16-January-2017,335.40,337.00,330.25,332.10,333.509139150943396226,20352,605,6787578.00,14237,69.95,6.75,-3.30
13-January-2017,337.00,338.40,334.50,337.00,336.770755222281735404,9335,659,3143755.00,4563,48.88,3.90,0.00
12-January-2017,338.75,342.00,335.00,335.45,338.702023932634067070,6769,280,2292674.00,3803,56.18,7.00,-3.30
11-January-2017,340.00,343.05,339.00,340.40,341.195954314022292555,7267,346,2479471.00,3880,53.39,4.05,0.40
10-January-2017,337.95,341.45,335.10,339.25,338.553161427057576827,5662,237,1916888.00,3623,63.99,6.35,1.30
9-January-2017,339.80,344.50,335.70,337.40,341.391100702576112412,7686,402,2623932.00,3954,51.44,8.80,-2.40
6-January-2017,340.00,340.00,336.20,337.60,338.372192513368983957,5610,243,1898268.00,2478,44.17,3.80,-2.40
5-January-2017,339.00,343.25,334.10,335.50,338.003637381085618354,14296,545,4832100.00,8166,57.12,9.15,-3.50
4-January-2017,329.45,344.00,329.15,341.15,336.924690353494259108,11061,495,3726724.00,6636,59.99,14.85,11.70
3-January-2017,323.45,331.90,323.40,330.50,328.400481420189559199,6647,319,2182878.00,3779,56.85,8.50,7.05
2-January-2017,319.05,325.40,319.05,324.85,323.632084534101825168,4164,137,1347604.00,1980,47.55,6.35,5.80
