Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-June-2017,249.50,257.00,249.50,253.10,253.959319038789402292,80357,1543,20407409.00,30842,38.38,7.50,3.60
14-June-2017,250.50,251.00,247.70,249.25,249.275766326077298978,18008,469,4488958.00,5076,28.19,3.30,-1.25
13-June-2017,252.55,253.50,248.15,249.40,250.728352881183069862,39220,474,9833566.00,25084,63.96,5.35,-3.15
12-June-2017,250.00,252.35,248.00,251.00,250.487931099610924338,26473,609,6631167.00,6559,24.78,4.35,1.00
9-June-2017,251.00,253.95,249.50,251.20,251.488045369594638138,31034,710,7804680.00,7721,24.88,4.45,0.20
8-June-2017,254.30,256.20,249.70,251.05,253.087162299870920990,44159,957,11176076.00,13286,30.09,6.50,-3.25
7-June-2017,251.55,254.00,250.55,251.80,251.552014802631578947,38912,620,9788392.00,21841,56.13,3.45,0.25
6-June-2017,258.85,258.85,250.75,251.55,252.661074722630664349,29924,713,7560630.00,10838,36.22,8.10,-7.30
5-June-2017,255.50,258.50,254.75,255.75,256.363104511780229563,31451,642,8062876.00,8620,27.41,3.75,0.25
2-June-2017,250.35,258.00,250.35,254.80,254.925405477266684392,150440,1405,38350978.00,104741,69.62,7.65,4.45
1-June-2017,252.00,254.70,250.65,251.30,252.106890118373648996,31088,758,7837499.00,8176,26.30,4.05,-0.70
31-May-2017,257.75,258.00,250.00,251.60,253.013137377566550574,107099,2327,27097454.00,30313,28.30,8.00,-6.15
30-May-2017,256.00,266.40,249.80,255.95,258.696629746085417687,189867,4140,49117953.00,19309,10.17,16.60,-0.05
29-May-2017,264.00,266.40,255.25,257.05,259.666283887237683508,88824,2147,23064598.00,22750,25.61,11.15,-6.95
26-May-2017,244.80,260.85,244.80,258.45,257.191418015736043940,152389,3266,39193143.00,47139,30.93,16.05,13.65
25-May-2017,242.45,245.40,239.00,242.90,242.079376306060118951,31105,884,7529879.00,6860,22.05,6.40,0.45
24-May-2017,243.85,243.85,235.55,242.45,239.811835927847788485,32376,841,7764148.00,8703,26.88,8.30,-1.40
23-May-2017,251.00,251.00,237.30,243.85,243.539615749610557037,55849,1687,13601444.00,12940,23.17,13.70,-7.15
22-May-2017,250.00,250.85,244.80,248.40,247.423857254996678944,33122,758,8195173.00,13733,41.46,6.05,-1.60
19-May-2017,254.95,256.00,242.25,248.20,249.051286232622609971,49058,1197,12217958.00,21775,44.39,13.75,-6.75
18-May-2017,259.00,259.00,253.05,254.45,256.484695579649708090,23980,491,6150503.00,10433,43.51,5.95,-4.55
17-May-2017,260.40,263.80,259.70,261.05,262.066639295886684970,38971,708,10212999.00,14963,38.40,4.10,0.65
16-May-2017,261.85,262.40,258.60,261.20,260.510357711962195725,36398,805,9482056.00,10136,27.85,3.80,-0.65
15-May-2017,257.30,263.00,257.30,259.35,260.477027052973139028,52083,1053,13566425.00,13678,26.26,5.70,2.05
12-May-2017,262.95,263.65,255.50,256.60,258.832361818870599161,81831,1496,21180511.00,15134,18.49,8.15,-6.35
11-May-2017,260.50,264.90,258.00,261.00,261.188865847822619237,62690,1391,16373930.00,12971,20.69,6.90,0.50
10-May-2017,260.70,268.00,258.50,260.05,263.002114690881950491,96468,1823,25371288.00,29042,30.11,9.50,-0.65
9-May-2017,264.00,264.20,259.00,260.00,260.801242428948594502,32195,607,8396496.00,12766,39.65,5.20,-4.00
8-May-2017,261.90,265.00,260.90,262.15,262.596479659125494572,59142,1001,15530481.00,19906,33.66,4.10,0.25
5-May-2017,255.00,267.40,255.00,259.20,262.856643732049710558,223534,3842,58757397.00,41981,18.78,12.40,4.20
4-May-2017,251.65,255.75,250.35,253.75,252.796992701585719729,34117,728,8624675.00,10939,32.06,5.40,2.10
3-May-2017,255.35,256.00,250.00,251.65,252.369939951119239920,61783,1265,15592172.00,19466,31.51,6.00,-3.70
2-May-2017,261.00,263.50,253.70,258.00,258.431015185431665557,66116,1362,17086425.00,12669,19.16,9.80,-3.00
28-April-2017,263.80,265.10,258.05,261.30,262.688124672864584631,160484,2673,42157241.00,43146,26.88,7.05,-2.50
27-April-2017,256.00,263.00,252.00,261.15,258.023440227420078799,80204,1316,20694512.00,39694,49.49,11.00,5.15
26-April-2017,258.00,260.85,252.60,255.25,256.686527669474733787,78227,1677,20079817.00,27736,35.46,8.25,-2.75
25-April-2017,253.40,257.60,252.05,256.55,254.953021721029204658,97279,1984,24801575.00,35033,36.01,5.55,3.15
24-April-2017,248.70,253.35,246.00,250.30,250.241785929112142638,88111,1656,22049054.00,35874,40.71,7.35,1.60
21-April-2017,249.00,250.00,246.00,247.10,247.204486409370776392,266360,1652,65845387.00,234472,88.03,4.00,-1.90
20-April-2017,248.70,250.90,245.00,246.45,247.687405468993829976,83306,1875,20633847.00,28187,33.84,5.90,-2.25
19-April-2017,241.50,245.00,238.00,244.40,242.682409177820267686,52300,892,12692290.00,27559,52.69,7.00,2.90
18-April-2017,245.40,247.50,238.00,239.30,241.958935660817650089,65994,1573,15967838.00,22061,33.43,9.50,-6.10
17-April-2017,238.00,244.00,237.40,241.00,241.563363856254319281,69456,1870,16778025.00,27961,40.26,6.60,3.00
13-April-2017,242.00,242.00,234.15,236.10,238.065936686108359928,54522,1239,12979831.00,21880,40.13,7.85,-5.90
12-April-2017,236.00,245.80,235.70,238.70,241.416059206499360080,143768,2988,34707904.00,37230,25.90,10.10,2.70
11-April-2017,236.35,237.50,231.00,232.80,234.261633692744519816,109531,2511,25658911.00,34429,31.43,6.50,-3.55
10-April-2017,237.05,240.00,233.60,235.15,235.990108165667208429,35686,930,8421543.00,12630,35.39,6.40,-1.90
7-April-2017,241.05,241.20,237.00,238.05,239.390251004600780385,68684,1624,16442280.00,20739,30.19,4.20,-3.00
6-April-2017,246.00,246.70,241.40,241.90,243.147962795863122093,288140,1014,70060654.00,264989,91.97,5.30,-4.10
5-April-2017,247.00,249.00,244.25,246.45,247.777358725113044327,450487,1506,111620479.00,408974,90.78,4.75,-0.55
3-April-2017,242.00,248.40,240.40,247.40,244.715200961868773617,116440,2645,28494638.00,50722,43.56,8.00,5.40
31-March-2017,239.00,242.75,235.00,241.50,239.259234901610150078,135329,2051,32378713.00,38925,28.76,7.75,2.50
30-March-2017,235.45,239.00,235.20,237.40,237.988658842146907556,68247,1597,16242012.00,34085,49.94,3.80,1.95
29-March-2017,230.40,236.60,229.25,234.70,234.672508542247676583,133747,3248,31386744.00,56015,41.88,7.35,4.30
28-March-2017,234.00,235.45,229.00,230.25,231.997216208728709152,13120955,2497,3044025034.00,13043438,99.41,6.45,-3.75
27-March-2017,229.55,231.85,227.00,230.65,229.051553401443564977,57358,1021,13137939.00,32645,56.91,4.85,1.10
24-March-2017,230.00,231.40,228.10,228.90,229.711609317429588459,32026,1224,7356744.00,15242,47.59,3.30,-1.10
23-March-2017,230.00,233.00,228.00,231.10,230.757684050141976591,72195,1688,16659551.00,19392,26.86,5.00,1.10
22-March-2017,231.35,231.35,226.60,228.10,228.083166866426954321,30036,752,6850706.00,11349,37.78,4.75,-3.25
21-March-2017,229.90,233.00,225.00,230.35,229.204436247969680563,59104,1551,13546899.00,18927,32.02,8.00,0.45
20-March-2017,229.00,232.00,228.00,230.15,230.000284872458530709,122862,806,28258295.00,109598,89.20,4.00,1.15
17-March-2017,231.00,233.00,226.75,231.55,229.526097407428604132,34946,1082,8021019.00,14577,41.71,6.25,0.55
16-March-2017,229.10,232.70,228.15,231.30,230.205345244197115032,68285,1468,15719572.00,42372,62.05,4.55,2.20
15-March-2017,230.00,230.00,226.60,227.95,227.892656667788146547,56473,1910,12869782.00,27873,49.36,3.40,-2.05
14-March-2017,225.00,232.30,223.55,229.30,228.664440464373570411,92684,2233,21193535.00,35029,37.79,8.75,4.30
10-March-2017,226.95,227.00,222.50,223.45,223.857782312240894949,139181,1317,31156750.00,113283,81.39,4.50,-3.50
9-March-2017,223.50,229.60,222.00,224.40,225.321279300117944783,87329,2307,19677082.00,27256,31.21,7.60,0.90
8-March-2017,224.00,224.10,220.30,221.00,221.839484278291095465,56387,1995,12508863.00,22349,39.64,3.80,-3.00
7-March-2017,229.00,229.75,222.45,223.90,225.017531698116249264,620305,2088,139579500.00,593258,95.64,7.30,-5.10
6-March-2017,225.65,229.00,225.65,227.60,227.211906338878715860,25667,592,5831848.00,11671,45.47,3.35,1.95
3-March-2017,230.25,230.25,223.60,225.10,224.963099589432245056,177559,3741,39944223.00,113800,64.09,6.65,-5.15
2-March-2017,232.00,234.50,227.70,229.10,230.539085873851205179,65177,1795,15025846.00,29957,45.96,6.80,-2.90
1-March-2017,231.75,233.35,228.00,231.35,230.434664070107108081,66755,2354,15382666.00,24295,36.39,5.35,-0.40
28-February-2017,231.00,237.00,230.00,231.75,233.736251110532187063,299406,2524,69982036.00,253267,84.59,7.00,0.75
27-February-2017,232.00,235.00,229.85,232.65,232.337995747597040889,56909,1852,13222123.00,25075,44.06,5.15,0.65
23-February-2017,228.50,232.05,226.50,231.05,230.290739846757522868,80787,2074,18604498.00,33599,41.59,5.55,2.55
22-February-2017,226.00,234.30,224.50,228.30,231.159020243550500202,165633,4017,38287562.00,45442,27.44,9.80,2.30
21-February-2017,224.85,225.80,223.80,224.45,224.669041807731674671,25402,776,5707043.00,12561,49.45,2.00,-0.40
20-February-2017,224.00,224.95,222.40,223.40,223.681612744439969570,22347,515,4998613.00,8425,37.70,2.55,-0.60
17-February-2017,224.20,225.00,221.25,223.60,223.412750272262712574,23874,737,5333756.00,7225,30.26,3.75,-0.60
16-February-2017,225.00,226.35,223.10,224.15,224.555092424791591156,27590,776,6195475.00,8452,30.63,3.25,-0.85
15-February-2017,223.00,224.50,217.00,222.55,220.214048575921719377,45784,968,10082280.00,18809,41.08,7.50,-0.45
14-February-2017,223.10,224.65,220.25,223.05,222.773239508439141298,19611,452,4368806.00,5401,27.54,4.40,-0.05
13-February-2017,229.30,229.50,219.50,222.55,223.219285699897266482,49643,1453,11081275.00,21657,43.63,10.00,-6.75
10-February-2017,226.30,231.45,226.10,229.65,229.185677530017152658,130592,2946,29929816.00,48684,37.28,5.35,3.35
9-February-2017,223.95,226.50,220.50,225.40,224.047549754534497457,68034,1855,15242851.00,25314,37.21,6.00,1.45
8-February-2017,218.40,224.00,217.75,222.15,221.779614303437661950,127354,1775,28244521.00,90645,71.18,6.25,3.75
7-February-2017,220.00,221.60,215.00,216.90,218.109104831538385535,40484,2509,8829929.00,22660,55.97,6.60,-3.10
6-February-2017,225.95,228.00,219.00,220.20,222.404700956565897337,192982,3660,42920104.00,138189,71.61,9.00,-5.75
3-February-2017,224.00,225.10,222.00,223.25,223.893633381981388195,63723,1847,14267174.00,29307,45.99,3.10,-0.75
2-February-2017,214.20,223.30,214.00,221.55,220.762433236735065171,153902,3916,33975780.00,56536,36.74,9.30,7.35
1-February-2017,211.70,215.50,209.75,213.05,212.524623524623524623,76167,3045,16187363.00,28068,36.85,5.75,1.35
31-January-2017,213.00,213.30,209.75,211.25,211.733206883789785344,21616,778,4576825.00,12234,56.60,3.55,-1.75
30-January-2017,212.70,214.00,211.10,212.75,213.134633370744481855,21384,767,4557671.00,12116,56.66,2.90,0.05
27-January-2017,214.80,216.25,210.25,210.90,212.220603516527017219,242512,2110,51466043.00,206514,85.16,6.00,-3.90
25-January-2017,211.90,215.00,210.75,213.30,212.231541441201691356,67638,2180,14354917.00,36064,53.32,4.25,1.40
24-January-2017,210.00,211.50,209.30,210.45,210.594417728421991968,20171,685,4247900.00,12103,60.00,2.20,0.45
23-January-2017,211.75,211.85,208.00,209.65,209.782224697644812221,37704,1196,7909629.00,22101,58.62,3.85,-2.10
20-January-2017,217.00,217.00,210.00,210.70,212.530906470972725652,134632,1512,28613461.00,101608,75.47,7.00,-6.30
19-January-2017,215.05,215.50,212.40,213.35,214.158181085437936593,14888,648,3188387.00,7851,52.73,3.10,-1.70
18-January-2017,215.95,217.15,214.40,214.95,215.662466466140964149,24602,999,5305728.00,11513,46.80,2.75,-1.00
17-January-2017,216.00,216.70,213.50,215.05,215.055320418904986705,36858,1676,7926509.00,16883,45.81,3.20,-0.95
16-January-2017,213.00,215.95,212.55,213.25,214.433563379051279811,22894,1078,4909242.00,9068,39.61,3.40,0.25
13-January-2017,216.00,217.15,213.15,214.00,214.794031712681789829,30461,1222,6542841.00,10312,33.85,4.00,-2.00
12-January-2017,217.00,219.95,214.00,215.05,216.363079655946148092,21392,1067,4628439.00,9173,42.88,5.95,-1.95
11-January-2017,222.35,222.50,218.00,218.55,219.616342534504391468,31880,1336,7001369.00,13760,43.16,4.50,-3.80
10-January-2017,226.00,226.95,218.75,219.85,220.370965303499886612,79374,2560,17491725.00,27797,35.02,8.20,-6.15
9-January-2017,220.00,226.90,218.90,225.30,223.390676257260661510,66454,2043,14845204.00,24898,37.47,8.00,5.30
6-January-2017,215.95,220.60,215.75,219.50,218.796654992495175469,55964,1775,12244736.00,18565,33.17,4.85,3.55
5-January-2017,216.25,217.45,213.05,213.85,215.454126176738536289,52688,1643,11351847.00,16071,30.50,4.40,-2.40
4-January-2017,214.05,218.80,213.60,214.50,215.980300215282078504,33909,1297,7323676.00,15841,46.72,5.20,0.45
3-January-2017,213.40,214.85,210.65,213.05,213.086727336018698095,20109,753,4284961.00,9930,49.38,4.20,-0.35
2-January-2017,212.80,213.00,209.25,211.65,211.470341939986043265,25794,822,5454666.00,12940,50.17,3.75,-1.15
